zawodnik,klasa,krag,mop,os,rogacz,dzik,razem
Pilcicki Bogusław Wojciech,M,90,100,85,99,93,467
Burak Andrzej,M,85,100,80,100,93,458
Szymczuk Marcin Aleksander,M,80,95,90,100,81,446
Molski Krzysztof Lech,M,85,95,75,100,79,434
Sawicki Dariusz,M,85,100,75,98,72,430
Bajda Karol,M,95,95,75,97,67,429
Komarewski Tomasz,M,100,100,95,100,0,395
Gorzelski Bogdan,M,75,90,75,94,0,334
Parafiniuk Rafał,P,85,95,60,81,91,412
